"Symbol";"Value";"Unit";
"TraceParts.PartVersion";"1.2.7";"";
"MASS";"18";"kg";
"DESIGN";"Class 150 flange - NPS 8 - Welding neck - Raised face";"";
"TraceParts.PartNumber";"22-11052002-074924";"";
"TraceParts.PartLanguage";"en";"";
"STANDARD";"ASME B 16.5 - 1996";"";
"TraceParts.InstanceId";"22-11052002-0749241D2UD1XKNBFOMTXWFQFFNQKY3";"";
"TraceParts.PartTitle";"Class 150 flanges - NPS 1/2 to 24 - Welding neck";"";
"NOTE";"Raised face";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.ClassPath";"ANSI_METRIC:/TRACEPARTS/TP07/TP07007/TP07007007/22-11052002-074924";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartStandardAcronym";"ANSI_METRIC";"";
